වචනය,"සමාන පදමාලාව"
"අඩකෝට්ට, අඩක්කෝට්ට","[නා.ප්‍ර.] අවහිරය; බාධාව; වැළකීම."
අඩක්කම,"1. [නා.] රැක බලා ගැනීම; රක්ෂාවරණය.
<br>2. [නා.] සිර වීම; අඩස්සි වීම."
අඩගහණ,"[නා.ප්‍ර.] පෘථිවිය හා සූර්යයා අතරට සඳ ද සූර්යයා හා සඳ අතරට පෘථිවිය ද පැමිණීමෙන් සූර්යයාගේ හෝ චන්ද්‍රයාගේ ප්‍රභාව අර්ධ වශයෙන් වැසී යෑම."
අඩඩ,"[අඩ+අඩ]<br>
[නා.] අඩින් අඩ; භාගයෙන් භාගය; සතරින් කොටස."
අඩතල,"[වි.] සම ව නොපිහිටි; සමතල ව නොසිටි."
"අඩ තැන","[නා.] භාගයක් දුර; දුර ප්‍රමාණයෙන් අර්ධය."
"අඩ තැන්න","[නා.] සේදී යෑමෙන් හා ජීර්ණයෙන් විෂම ලෙස සකස් වූ තැනිතලා භූමිය; අර්ධ තැනිතලාව."
අඩදඩ,"1. [වි.] ඉක්මන්; කලබල; කැලඹුණු,
<br>2. [වි.] කලහකාරී."
"අඩදමු, අඩදඹු","[වි.] අඩක් දැවුණු; බාගයක් දා ගිය."
අඩදැණි,"[වි.] අඩක් දණ ගැසූ; එක් දණක් බිම එබූ; අර්ධ ජානුක."
අඬදිටි,"[නා.ප්‍ර.] නෙත් කොනින් බැලීම; අඩ බැල්ම; නුවනඟ බැලීම."
"අඩ නින්ද","[නා.] මඳ නින්ද; කපි නිද්‍රාව."
අඩන්තේට්ටම්,"[නා.ප්‍ර.] හිංසාව පීඩාව; අතින් පයින් තැළීම; බලහත්කාරකම."
අඩපණ,"[වි.] ශක්තිය අඩු; බෙලහීන; දුර්වල; මලානික."
අඩපද,"1. [නා.ප්‍ර.] හරි හැටි නොගැළපීම.
<br>2. [නා.ප්‍ර.] කෙටි රබන් පදය.
<br>3. [නා.ප්‍ර.] පද්‍යයක පාදයකින් අර්ධය."
අඩපන්න,"[නා.] කර්මාන්තයකට අවශ්‍ය උපකරණ; මෙවලම්; ආම්පන්න."
"අඩ පය","[නා.] නිසි බිම නොසිටින පය; ඇද කර බිම තබන කකුල."
"අඩ පය","[නා.] නිසි බිම නොසිටින පය; ඇද කර බිම තබන කකුල."
"අඩ පය","[නා.] නිසි බිම නොසිටින පය; ඇද කර බිම තබන කකුල."
අඩපලක්,"[නා.ප්‍ර.] මෙහෙණින් හිඳගන්නා ක්‍රමය; එක් පයක් හකුළුවා බැඳ ගන්නා පර්යංකය; අර්ධ පර්යංකය."
"අඩ පෙහෙවස, අඩ පෝය","[නා.] එක් රැයක් හෝ එක් දවාලක් රකින උපෝසථය; අර්ධ උපෝසථය."
අඩප්පරය,"[නා.] කම්මුල් ඉදිමෙන රෝගයක්; කම්මුල්ගාය."
"අඩ බම","[නා.] අර්ධභ්‍රමය; හතර පදයෙන් යුත් පද්‍යයක එක් එක් පේළියෙහි මුල් අකුරු සතර බැගින් ගෙන, වම සිට දකුණටත්, ඉහළ සිට පහළටත් කියවූ කල එක ම ලෙසට කියැවෙන රචනා විලාසය."
"අඩ බැලුම, අඩ බැල්ම","[නා.] අඩැසින් බැලීම; නෙතඟ බැල්ම; කටාක්ෂ නිරීක්ෂණය."
"අඩ මත","[නා.] මාත්‍රාවකින් අඩ කොටස; ලඝු අක්ෂරයක් උසුරුවන කාලයෙන් අර්ධය; අර්ධ මාත්‍රාව."
"අඩ මස","1. [නා.] මාසයකින් අර්ධය; දින පහළොවක කාලය.
<br>2. [නා.] මෑ, උඳු, මුං වැනි ධාන්‍ය ඇටයකින් භාගයක බර ප්‍රමාණය."
"අඩ මස්ස","[නා.] මස්සකින් අඩ කොටස; සතර වියට හෙවත් වී ඇට හතරක බර; හුනිඳ හෙවත් ඔලිඳ ඇටයක බර."
අඩමාන,"[වි.] අනුමාන; සැක සහිත; අස්ථිර.
<br>[නා.ප්‍ර.] සැකය; අනුමානය."
"අඩ මුකුළු","[වි.] පිපී ගෙන එන; මඳක් විකසිත වූ.
<br>[නා.ප්‍ර.] යන්තමින් පාන සිනා; මඳ සිනා; අඩ සිනා."
"අඩය, අඩ්ඩය","[නා.] යමක් නොසෙල්වෙන සේ සිර කොට තබනු ලබන කැටය හෝ කොටය හෝ ආධාරකය."
අඩයටිදර,"[නා.ප්‍ර.] හෙල්ලක් දරන්නා; කඳකුමරු."
"අඩ යටිය","[නා.] යටියෙන් භාගයක් වූ ආයුධය; තෝමරය; හෙල්ල."
අඩයාලම,"1. [නා.] සලකුණ; සටහන; ලාඤ්ඡනය.
<br>2. [නා.] සිහි වීමට දෙන ලකුණ; නිමිත්ත.
<br>3. [නා.] හැඩහුරුකම; ස්වරූපය.
<br>4. [නා.] හරකුන්ගේ සිරුරේ ගහන හන; හංවඩුව."
"අඩයාලම් කොඩිය","[නා.] රූපයක් ඇඳ තිබෙන ධජය; සටහන සහිත ධ්වජය."
"අඩල, අඩළ","1. [නා.] අඩක් ඉතිරි වූ දෙය.
<br>2. [නා.] කොටසක් ඉතිරිකොට ගාන ලද පොල් බෑය."
"අඩලා ගන්නවා","(කථා.) [ක්‍රි.] අනුන් සතු ඉඩකඩම් අත්පත් කර ගැනීමට වැටකටු ආදිය ශුද්ධ කරනවා; මායිම් එළිපෙහෙළි කරනවා."
"අඩවල්, අඩවළු, අඩවාළු","[වි.] යන්තම් ඇරුණු; සම්පූණයෙන් නොවැසූ; අඩවන්."
අඩවිය,"1. [නා.] මහා වනය; වනාන්තරය; අරණ්‍ය ප්‍රදේශය; මූකලාන; අටවිය.
<br>2. [නා.] අඩයටිය; හෙල්ල."
"අඩවිය දර","[නා.] හෙල්ල දරන්නා; කඳකුමරු; අඩයටිදර."
අඩව්ව,"1. [නා.] නැටුම් පදයක්; නැටුමක විරාමයකට පෙර පාන නැටුම; කෙනෙකූට ගෞරව කිරීමක් වශයෙන් නටන නැටුම.
<br>2. [නා.] පය පැකිලීමෙන් හෝ නොසැලකිල්ල නිසා හෝ සිදුවන වැටීම; අනතුරුදායක අවස්ථාව.
<br>3. (රූඪි.) [නා.] මතභේදාත්මක වූ අවස්ථාව; ගැටුම්කාරී අවස්ථාව."
"අඩස, අඩහ","[නා.] දෙකට බෙදූ කොටස; අර්ධය; අඩ."
"අඩසඳ, අඩහඳ","1. [නා.] අඩක් පිරුණු සඳ; අටවක දවසෙහි පායන සඳ; අර්ධ චන්ද්‍රයා.
<br>2. [නා.] සම්පූර්ණ අඩ කවයක සටහන; අර්ධ වෘත්තාකාර රූපය.
<br>3. [නා.] සඳ පළුවක් වැනි මූණතක් ඇති ඊගස."
"අඩසඳ පහණ","[නා.] සඳ පළුවක හැඩහුරුකමට කපා සකස් කළ ගල; සඳකඩ පහණ,"
"අඩසිරය, අඩසිරේ","[නා.] වැළැක්වීම; සිරකිරීම."
"අඩස් බැල්ම","[නා.] අඩැසින් බැලීම; මඳක් පියාලූ ඇසින් බලන බැල්ම; අර්ධ නිරීක්ෂණය."
"අඩස්සි පොල්ල","(කථා.) [නා.] යමක් හරස් කර බඳින පොල්ල; අවහිර කරනු පිණිස බඳින පොල්ල."
අඩස්සිය,"1. [නා.] මලමූත්‍ර ආදිය සිර වීම; වාතය හිර වීම.
<br>2. [නා.] අවහිරය; වැළැක්වීම; නැවැත්වීම."
අඩාළ,"[වි.] අඩක් ඉතුරු වූ; අවසාන නොවූ; අසම්පූර්ණ."
"අඩාළ කරනවා","[ක්‍රි.] (කෙරීගෙන යන කටයුත්තක්) අඩපණ කරනවා; බාධා කර වළක්වනවා; සම්පූර්ණ කිරීමට ඇති මං අසුරනවා."
"අඩාළ පොහොය","[නා.] එක් රැයක් හෝ එක් දවාලක් හෝ පමණක් රකින පෙහෙවස; අඩ පෙහෙවස; අර්ධ උපෝසථය."
අඩැස,"[නා.] අඩක් පිය වූ ඇස."
"අඩැසි බැල්ම","[නා.] අඩ බැල්ම."
අඩිංචිය,"(කථා.) [නා.] ලීයක් ඉරා කපා ඉතුරුවන කොට කැබැල්ල; ඉරන ලද ලීයේ ඉතුරු කොටස."
"අඩි කුරය","(කථා.) [නා.] ගවයන්ගේ කුර සටහන."
"අඩි කොළය","[නා.] පැළයක මුල් කොළය; පළමුවෙන් ඇදුණු පත්‍රය."
